listing_id,year,make,model,trim,title,description,photo_url,price_aed,mileage_km,body_type,transmission,fuel_type
12,2019,mazda,3,s grade,Mazda 3 2019 Model GCC Spec Excellent Condition Single Hand Used Car For Sale,"PRICE REDUCED 35000 AED Mazda 3 2019 Model Scratch less exterior Model, 1.6 ltr engine less fuel Consumption car is for sale 100% Accident Free In Perfect Condition (Electrical and Mechanical) Only Single hand driven GCC Specification Cruise Control Bluetooth Systems ABS Brake Systems Parking Sensors Keyless Entry USB Pot Audio Aux In Fully Automatic Power Mirror Power Windows Power Steering Central Lock Systems Extra Clean Interior Call to view 052 7993306 Bank Auto finance can be arrange at 0% down payment and below fees also can be cover in auto finance. (Bank Processing fee, Evaluation Fee RTA Test/Registration fees, Comprehensive Insurance) Salary Required:- AED 3000/-(WPS) Saving and current both account are acceptable for Auto Loan Cheque Book not required No Salary Transfer Required Auto loan offer for Non-listed Companies also Monthly Installment is less than Monthly Car Rental Required Document:- Passport Copy and Visa Page copy Emirates ID Copy Driving License Salary Certificate (AED 3000 and More) Contact for more details Call 052 7993306",https://dbz-images.dubizzle.com/images/2024/03/13/b16a4b5d793f4090b168dc85e51c943a-.jpeg?impolicy=dpv,35000.0,,,,
13,2020,renault,megane,rs,Top Range 2020 Renault Megane RS GCC,"2020 Renault Megane RS Renault Megane RS ▪ 2020 Payment:  AED 54,500 ------------------------------------------------------------------------ Odometer: 111,000 KM Service History: Partial Agency Maintained Specs: GCC ------------------------------------------------------------------------ Car Details:  Year Model: 2020  Trim: Megane RS  Engine: V4 1.8TC  Transmission: 6 Speed Automatic  Horsepower: 280hp / 0-100  5.8s ------------------------------------------------------------------------ Options:  Xenon Headlights  Navigation  Rear camera  Electric sunroof  Alcantara Recaro seats  Parking sensors  Bose sound system  Blind spot indicators ------------------------------------------------------------------------ Extra Expenses:  Approx. 2.5% for Car insurance.  AED 1,000 – Evaluation.  AED 1,200 – RTA/Car registration fee. ------------------------------------------------------------------------ Location: Ready2Ride Motors – Dubai Investment Park Contact: +971-52-33 88 389 WhatsApp: +971-52-33 88 389 Website: www.ready2ride.ae ------------------------------------------------------------------------ With Ready2Ride Motors, you will get remarkable service. Our goal is to give customers all care, attention, and guidance for smooth ride experience. Our specialist team selects the most reliable pre-owned vehicles in the UAE. Trustworthy, Quick and Hassle-free. ------------------------------------------------------------------------ Sell Your Car:  We pay cash and pay for Bank early settlements.  Sell your car for the best market price now and get your cash.",https://dbz-images.dubizzle.com/images/2024/08/10/8b5179cec3c64757b53a879f37707491-.jpeg?impolicy=dpv,54500.0,111000.0,,automatic,
14,2020,mercedes-benz,c-class,c200,2020 | MERCEDES Benz | C 200 | GCC | EXCELLENT CONDITION |,"2020 | MERCEDES Benz | C 200 | GCC | EXCELLENT CONDITION | 19-inch black wheels Blind-spot monitoring Five surround cameras Self-parking system Panoramic roof Power-operated rear trunk Digital light projector 64-color interactive lighting Electrically-controlled seats with memory Digital gauge with customizable display Various driving modes Heated front seats Navigation system Apple Carplay Android Auto Wireless phone charger Steering wheel control Dedicated areas for child seat installation Smart Entry **THE (7SEVEN LUXURY) - THE TRUE DEFINITION OF LUXURY ** Multi brand dealer with decades of experience in the UAE for new and pre-owned luxury vehicles. ** We are committed to providing exceptional service in every part of our business, as customer satisfaction is our top priority. **For more details follow us on INSTA ""sevenluxury.ae"" and visit our showroom in Al Quoz industrial area 3 Dubai. CALL OR WHATSAPP: Aamir 0509758560.",https://dbz-images.dubizzle.com/images/2024/09/11/6cd4fca7e9074a588c55ecdc05a15f05-.jpeg?impolicy=dpv,,,,,
15,2020,rolls-royce,cullinan,standard,2020 I ROLLS ROYCE I CULLINAN I MANSORY KIT I TWO TONE INTERIOR I FULLY LOADED I IMMACULATE CAR,"1,349,999 AED / 25,683 AED per Month with 20% Down Payment over 5 Years. 0% Down Payment option also available (subject to lender terms &conditions). ________________________________________ The 2020 Rolls Royce Cullinan Mansory is a bespoke luxury SUV featuring customizations by Mansory. Expect unique aerodynamic body kits, upgraded wheels, personalized interiors with premium materials, and potential performance enhancements. Mansory's touch adds exclusivity and a distinctive flair to this already opulent vehicle. ________________________________________ Model: 2020 Exterior Color: Black Interior Color: Black and orange Odometer: 18,845 (kms) WARRANTY AVAILABLE Specification: Other Cylinders: W12 Option: CULLINAN MANSORY ________________________________________ Key Features: – carbon fiber – Mansory Alloys – 360 Camera – Front and Rear Sensors – Navigation – Electric Seats – Memory Seats – Burmester Sound – Cruise Control – Speed Limiter – Android Auto – Apple CarPlay – DRL – Digital Dash – Lane Assist – Ambient Lighting – Ventilated Seats Plus many more features… ________________________________________ For more details, please don’t hesitate to contact us: Enquiry Line: +971563976999 Land Line: +97142695444 ________________________________________ Storage Address: 1 4th St – Al Quoz – Al Quoz Industrial Area 3 – Dubai, United Arab Emirates. ________________________________________ Opening Hours: Monday-Friday: 9 am to 9pm Saturday: 9am – 8PM Sunday: 12pm – 8pm ________________________________________ Welcome to The Car Superstore, the ultimate destination for luxury vehicles in the UAE. Owned by a British expat with over 14 years of automotive experience in the UAE and over 30 years of international expertise, we bring unparalleled knowledge and expertise in motor in",https://dbz-images.dubizzle.com/images/2024/01/17/3884cf79775e422a9c6df1a6c6d75761-.jpeg?impolicy=dpv,1349999.0,18845.0,suv,,
16,2009,mitsubishi,pajero sport,other,Mitsubshi pajero 2009 red color GCC calen car,Pajero 2009 red color GCC calen xar,https://dbz-images.dubizzle.com/images/2024/05/27/376161cbda734f66ab2c169b9d3fa619-.jpeg?impolicy=dpv,,,,,
17,2020,bentley,continental,gtc mulliner,2020 | BENTLEY | CONTINENTAL | GTC | W12 | FULL OPTION | EXCELLENT CONDITION |,"2020 | BENTLEY | CONTINENTAL | GTC | W12 | FULL OPTION | EXCELLENT CONDITION | **Transmission - 8 Speed Dual Clutch Transmission with Active All-Wheel Drive Spec - European Horse power - 542 Hp Max Speed - 198 mph/ 318km/h Acceleration - 0 -100 km/h in 4.0 seconds Engine - 4.0L V8 Twin Turbo **EXTRA OPTIONS Bentley Rotating Display Welcome Lighting Ambient Lighting Coupe Convertible LED Matrix Headlamps Remote Controlled Garage Door Opener **Naim for Bentley - PREMIUM AUDIO SYSTEM - 18 Speakers - 2200w - 8 Different DSP Modes - Apple Car Play Continental GTC Specification **Touring Specification - Head Up Display - Night Vision - Active Cruise Control - Lane Assist - Lane Departure Front Seat Comfort Specification - Adjustment Headrest - Ventilation and Massage Function - Moving Headrest - Adjustable Cushion Length - Adjustable Side Bolster -Mulliner Driving Specification with - Contrast Binding to Carpet Overmats - Contrast Stitching and Seat Piping - Black and Polished Edge Wheel - Mulliner Range - Solid and Metallic - Contrast Seatbelts - by Mulliner **THE (7SEVEN LUXURY) - THE TRUE DEFINITION OF LUXURY ** Multi brand dealer with decades of experience in the UAE for new and pre-owned luxury vehicles. ** We are committed to providing exceptional service in every part of our business, as customer satisfaction is our top priority. **For more details follow us on INSTA ""sevenluxury.ae"" and visit our showroom in Al Quoz industrial area 3 Dubai",https://dbz-images.dubizzle.com/images/2024/06/20/6436315e640b4dff9d204c789622c3c1-.jpeg?impolicy=dpv,,,,automatic,
18,2016,infiniti,q50,other,Infinite Q50 2016 (New condition),"Infinite Q50 2016 New condition for sale -Full Option -GCC -Full services history -No Accident -No paint -New tyres No mechanical problems & recently‏ ‏Serviced WANT TO SELL YOUR CAR QUICKLY FOR CASH? Feel free to whatsApp the details & Pictures. WE ARRANGE FREE FINANCE WITH 00 DOWN PAYMENT Required documents:- 1. Salary certificate 2. Last three months bank statement (with the stamp) 3. PP/ Visa/ Emirates ID/ DL Copy (Front and Back) Kindly visit to our showroom for more details. To see our cars from your mobile device, In dubizzle, under the search filter, select (Al Asad Automobiles) To check out our stock, or If it's a PC, click on our ""LOGO"" (Al Asad Automobiles) to see our stock.",https://dbz-images.dubizzle.com/images/2024/07/01/7af03e1acca04cd89391b39599cf277d-.jpeg?impolicy=dpv,,,,,
19,2018,bmw,x1,xdrive20i,Bmw x1 d 2018 full option original paint,"CAR BRAND: BMW CAR TYPE: X1 xDrive 20d CAR MODEL: 2018 Specs: KOREA -السيارة بدون حوادث | Free Accident -صبغ وكالة | Original Paint ----------- MILEAGE: 93,000 KM Full Option (Panoramic roof) ENGINE SIZE: 2.0 L + Turbo HORSEPOWER: 178 CYLINDER: 4 CC: 1998 ----------- *الأداء* محرك 4 سلندر بقوة 178 حصان 8 سرعات القير الأوتوماتيكي سعة المحرك 2.0L *المواصفات الإضافية* • 4 وضعيات قيادة • نظام الدخول الذكي •نظام القيادة الآلي •نظام الفرامل المفاجئ •نظام تنبيه عند الخروج عن المسار •نظام المحافظة على المسار • كاميرا خلفية • المقاعد متحركة كهربائياً •شاحن تلفون وايرلس •نظام النقطة العمياء • سقف بانوراما •Navigation •تبريد وتسخين في المراتب •مثبت سرعة •حساسات أمامية وخلفية •بصمة تشغيل •بصمة دخول •أضواء أمامية LED •نظام مراقبة ضغط الإطارات •نظام الذاكرة لحفظ وضعيات المقعد •نظام متطور لتوصيل الهاتف الذكي •آبل كار بلاي/آندرويد أوتو •خاصية إغلاق المحرك عند التوقف لفترات قصيرة _______________________________________________ ""السيارة نظيفة مع إمكانية التمويل البنكي والتصدير لجميع دول العالم"" 《الأوراق المطلوبة للتمويل》 1.كشف حساب آخر 3 شهور 2.شهادة الراتب 3.صورة عن جواز السفر والهوية والليسن<b",https://dbz-images.dubizzle.com/images/2024/08/19/a45a1a300c8d41ee9b1714913a46d050-.jpeg?impolicy=dpv,,93000.0,,,
20,2014,ford,mustang,v6,2014 FORD MUSTANG SOFT TOP CONVERTIBLE 3.7L IN VERY EXCELLENT CONDITION,"2014 Ford Mustang 3.7L 6 Cylinders 300 BHP ------------------------------- American Specifications 164,000 kms ------------------------------- 1. Silver with Fabric interior 2. Climate control 3. Cruise Control 4. Bluetooth System 5. Tiptronic Gears 6. Soft top convertible 7. Keyless Entry 8. Rear Parking Sensors 9. Fog Lights 10. Dual Exhaust ----------------------------- AED 21,500/- ------------------------------- FOR MORE DETAILS CAL OR WATSAPP:- +971558251199",https://dbz-images.dubizzle.com/images/2024/02/08/109fa2e19ba44475acfdb5b3413de1de-.jpeg?impolicy=dpv,21500.0,164000.0,convertible,automatic,
21,2011,lincoln,mkx,luxury,Lincoln MKX 3.7L Petrol (2011) Import From Japan,"2011 Lincoln MKX – Stylish, Well-Maintained, and Low Mileage Step into luxury and performance with this 2011 Lincoln MKX. Powered by a 3.7L Petrol Engine, this stylish SUV offers comfort, power, and an unforgettable driving experience. With only 142,774 km, this Japan-imported vehicle is well-maintained, accident-free, and ready for its next owner. 3.7L Petrol Engine – Powerful, smooth performance Only 142,774 km – Low mileage for its year Black Exterior / Black Interior – Sleek, sophisticated design Fully Automatic Transmission – Seamless driving experience Climate Control – Personalized comfort for every journey Fog Lamps – Increased visibility and style Well Maintained – Both interior and exterior in excellent condition Japan Import – Known for high-quality, reliable vehicles Clean Title & No Accident – Guaranteed peace of mind The Lincoln MKX is a perfect blend of performance, luxury, and practicality. Whether you’re commuting or embarking on a road trip, this SUV provides both comfort and versatility. Ready to experience it for yourself? Contact me today to schedule a test drive!",https://dbz-images.dubizzle.com/images/2024/05/10/aa35917f62e64126b7e4e7222ee987a9-.jpeg?impolicy=dpv,,142774.0,suv,automatic,petrol
22,2024,aston martin,dbx,707,TIMELESS CERTIFIED / 2 Year Warranty / 2 Year Service Contract,"**TIMELESS CERTIFIED PRE-OWNED PACKAGE** * 2 YEAR WARRANTY UNLIMITED KM * 2 YEAR SERVICE CONTRACT (16000 Km or 1 year, whichever comes first) * CERTIFIED HISTORY AND MILEAGE * QUALITY ASSURED ASTON MARTIN GENUINE PARTS * MULTI-POINT PRE-DELIVERY HARDWARE & SOFTWARE CHECK * SERVICING COMPLETED * 12 MONTHS OF ROADSIDE ASSISTANCE * COMPLEMENTARY REGISTRATION * Bank Finance option availalble",https://dbz-images.dubizzle.com/images/2024/06/10/43c8a73813a9474a8a12f74365db73e8-.jpeg?impolicy=dpv,,,,,
23,2017,nissan,x-trail,sl,NISSAN - X.TRAIL - AWD - 2.5 L,سيارة نيسان اكس تريل الأكثر استعملا بالإمارات باللهوم الأبيض لاتحتاج إلى اي صيانة ولا اصلاح مع قابلية الاقساط داخل المعرض من دون اللجوء إلى البنك,https://dbz-images.dubizzle.com/images/2024/08/04/106ce38874d145588c018087c444a2ec-.jpeg?impolicy=dpv,,,,,
24,2013,bentley,flying spur,speed,BENTLRY CONTINENTAL FLYING SPUR SPEED 2013 GCC VERY LOW MILEAGE,Bentley continental flying spur speed 2013 gcc full option perfect condition original paint single owner 2 keys full agency service very low mileage no have any problem no have any accident like new condition for more information 00971508809946,https://dbz-images.dubizzle.com/images/2024/10/05/23ea045c350e484184c384068762e87b-.jpeg?impolicy=dpv,,,,,
25,2018,bmw,x6,x6m,2018 BMW X6M || full agency service || 4.4L 567 HP || ORIGINAL PAINT|| ACCIDENT FREE || CARPLAY ||,"2018 BMW 4.4L X6M TOP OF THE RANGE 567 HP FULLY LOADED No accidents , no repaints Fully serviced at agency Newly major service done at bmw AGMC and new shocks , new brake discs , new brake pads chnaged Some options : CarPlay and touch screen 5 cameras lane departure assistant radar , Anti collision system Adaptive cruise control Moving object detection system And all whatever expected",https://dbz-images.dubizzle.com/images/2024/10/09/1478707b7fee4e40b0bf2c9bb1d0e952-.jpeg?impolicy=dpv,,,,,
26,2022,lincoln,aviator,luxury,Lincoln Aviator Luxury SUV 2022 korea specs,- ستارة - رادار - النقطة العمياء - كراسي مساج- كراسي تبريد وتسخين - نظام مساعدة السائق -كاميرا 360 -حساسات -بروجكتر- 64 لون داخلية -السيارة بحالة ممتازة - امكانية تمويل جميع البنوك -امكانية تمويل بدون دفعة اولى -امكانية تأجيل القسط الاول ثلاث اشهر - امكانية توفير تأمين شامل و ضدالغير - لمزيد من التفاصيل تواصل 0097153946040 ‏Instagram ‏‎‏panamera_motors ‏https://instagram.com/panamera_motors?igshid=i8p2suyattmr ‏-Website ‏https://www.panamera-motors.com/our-cars/ ‏‎‏Snapchat ‏‎‏panamera_motors ‏https://www.snapchat.com/add/panamera_motors ‏Facebook ‏https://www.facebook.com/panameramotorsuae/ ‏Locatio ‏Panamera motors ‏‎شارع رقم 5 - الشَّامْخَة - أبو ظبي ‏https://goo.gl/maps/LJULAdUKsEtjTFaq7,https://dbz-images.dubizzle.com/images/2024/10/17/8669aaf030b14b5f89541ec64e78360b-.jpeg?impolicy=dpv,,,suv,,
27,2019,mercedes-benz,glc coupe,other,Mercedes GLC 250 Coupe 2019 Partial Service History GCC,"- Mercedes GLC 250 Coupe - 2019 - GCC Specs - 75500 km - 2.0T 4 Cylinder - Silver exterior with Red Leather Interior - Full Service History Do not hesitate to call us for any info! • Saif (عربي - English): +971522051890 • Dhinakar (Tamil - Hindi - English): +971525368168 • Attia (عربي - English): +971525384938 • Amer (عربي - English): +971525390890 We also provide: - Car Financing, Buying and trading. - Car insurance - Worldwide export - Window Tint - Ceramic Coat & Detailing Our showroom is open all week long from 9.00am to 8.00pm Oasis Cars, Showroom 244, Dubai Auto Zone, DUCAMZ - Ras Al Khor - Dubai https://goo.gl/maps/mscP8HEQsjNVayuJ8",https://dbz-images.dubizzle.com/images/2024/10/24/573655b8700f45efab90e162e300a669-.jpeg?impolicy=dpv,,75500.0,coupe,,
28,2025,hyundai,tucson,gl,2025 Hyundai Tucson 0km,Perfect inside and outside Call 0508847769,https://dbz-images.dubizzle.com/images/2024/10/25/b5248067464846098bb78c2db79a1139-.jpeg?impolicy=dpv,,0.0,,,
29,2023,peugeot,landtrek,other,From 1099 Pm. Massive Price Drop. Free Manufacturer Warranty,"At SWAIDAN MOTORS AL NABOODAH we have a wide range of models and leading brands to choose from. We take pride that our cars go through rigorous checks by trained experts and are prepared to the highest quality standards. For additional peace of mind, all our cars come with 1 year’s warranty. We price our cars competitively for all brands and also arrange the most competitive finance and insurance rates. Prices Includes 5 % VAT. • Sell your car to us! • We will offer you the best market price for your car. • Cash payments or finance settlements available. Showroom timing: Mon to Sat : 9:00 am to 8:00 pm Sunday: 4:00 pm to 8:00 pm OVER 300 USED CARS IN STOCK * SWAIDAN MOTORS : 00971 562 240 080 / 00971 4 346 5039 / 00971 506 224 845 / +971 43306111 Sheikh Zayed Road, Dubai UAE Our website : www.swaidanmotors.com Our Facebook : https://www.facebook.com/SwaidanMotors/ T&C apply Auto Agent Details: Name: AL NABOODAH - SWAIDAN MOTORS",https://dbz-images.dubizzle.com/images/2024/08/21/3a0f7b1bcf1045ed933c82b68b772bb3-.jpeg?impolicy=dpv,,,,,
30,2018,rolls-royce,phantom,standard,STARLIGHT | TWO TONE INTERIOR | WOOD TRIM INTERIOR | LOW MILEAGE | PHANTOM,"Feel free to contact us for more information. Come visit our new location at ***EXOTIC CARS SHOWROOM MSM 1 Building Al Safa First, Sheikh Zayed Road, Dubai We have an inventory of over 400 luxury and supercars for sale in Dubai. Visit our website to view our full inventory: http://www.exoticcars.ae Like & Follow Us instagram/exoticcarsdubai",https://dbz-images.dubizzle.com/images/2024/09/17/5b43d43b87754ee68a658705d32f80b5-.jpeg?impolicy=dpv,,,,,
31,2016,jaguar,xe,r-sport,Jaguar xe F sport GCC 2016,جاكور بحالة ممتازة جدا,https://dbz-images.dubizzle.com/images/2024/10/25/74c989aa68474f49bb645be7e0c24569-.jpeg?impolicy=dpv,,,,,
32,2019,jaguar,f-pace,prestige,"GCC | 1,400 AED Monthy | Free Insurance + Registration | Warranty Till 2027 | Ref#A395886","Jaguar F-Pace 25T AWD Model : 2019 Odometer : 100,271 Kms Warranty : 3rd Party (3 Years) Specification : GCC Cylinders : V4 2.0L ------------------ Our flexible payment plans are bank auto loans. Option 1 - AED 1,750 monthly for 4 years with 0% Down-Payment / flexible. Option 2 - AED 1,400 monthly for 4 years with 20% Down-Payment / flexible. Option 3 - AED 70,000 cash And First Installment After 3 Month. ------------------ Contact us for more information, And to schedule a test drive: • (+971) 0542211117 ( English & Arabic) Wer'e Located at AL WAHADA ST. NEXT OF KING FAISAL BRIDGE, Souq Al Haraj in Sharjah, Mohammed Bin Zayed Road, behind Tasjeel ‎Village.‎ Showroom NO: #10 , #41 , #146 And #245 ------------------ Showrooms Timing :‎ • Sat-Thur : 10:00 AM TO 10:00 PM‎ • FRI : 4:00 PM TO 10:00 PM -------------------- A name you can trust, Welcome to Al Qassem Group Showrooms, We've been in the auto industry for 23 ‎years in UAE, 15 years in Jordan, And more than 30 years in Iraq. We won the Dubizzle (Legend) Sharjah showroom of the year 2022 And 2023 And multiple of Top seller of the month by Dubizzle ----------------- Follow Us on: Facebook : Al Qassem Group Instagram : Alqassem_group_luxury_cars Snapchat: alqassem-group TikTok : alqassemgroup -------------------- Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Examination - Registration ) . • Export deals and services available . • we can deliver the car to any where on UAE ------------------ What we offer : ( Easy Financing ) • Buy your car from al qassem group without down payment, The first installment after 3 Months. • Approved bank finance Available. • Excellent services 24 hours a day. ------------------ Employed : • Salary Ce",https://dbz-images.dubizzle.com/images/2024/11/07/d301a3fe41cb41d0b9fe1d429b375b84-.jpeg?impolicy=dpv,70000.0,100271.0,,,
33,2020,mercedes-benz,c-class,c300,Mercedes-Benz C300 // Brandnew condition,Brandnew condition Pre-Owned Fully loaded,https://dbz-images.dubizzle.com/images/2024/11/19/e19a0a5d5aff49cb97dd3e47c7d2d156-.jpeg?impolicy=dpv,,,,,
